BEV;GP;DP;EP;MRGDPI;TREP;TNL
6.975;2,885;2,873;0,143;18813,941;564,673;13497
5.143;2,88;2,788;0,142;18820,134;584,483;13528
5.224;2,726;2,595;0,142;18833,129;572,778;14089
6.704;2,462;2,505;0,141;18919,393;540,124;14118
5.740;2,387;2,519;0,136;18916,406;557,167;14461
6.103;2,26;2,467;0,134;18839,327;575,787;14851
7.954;2,144;2,31;0,133;18921,173;607,572;14832
3.576;2,057;2,143;0,134;18978,537;600,004;15856
4.424;1,872;1,998;0,134;18953,78;582,468;16282
7.115;2,071;2,09;0,134;19073,096;626,931;16710
6.266;2,216;2,152;0,134;19089,494;590,484;16973
6.526;2,371;2,315;0,133;19044,094;609,87;17240
7.678;2,467;2,423;0,138;19054,781;594,461;17699
7.762;2,345;2,405;0,139;19097,307;605,124;17880
8.601;2,284;2,351;0,139;19205,508;592,159;18077
10.032;2,327;2,394;0,139;19291,009;562,996;18470
5.408;2,359;2,454;0,137;19218,324;585,197;18613
6.266;2,295;2,439;0,136;19329,771;586,984;18966
13.077;2,366;2,51;0,136;19364,963;651,738;19178
5.398;2,458;2,58;0,134;19352,995;627,929;19567
5.846;2,416;2,568;0,135;19375,115;581,036;19852
10.171;2,437;2,554;0,134;19466,961;664,711;20108
5.961;2,528;2,583;0,135;19388,862;635,896;20319
8.038;2,503;2,56;0,137;19518,722;662,077;20654
8.814;2,46;2,511;0,142;19613,306;643,105;20904
7.802;2,414;2,496;0,143;19595,209;626,343;20879
8.850;2,494;2,595;0,142;19639,033;612,943;21244
13.421;2,761;2,785;0,142;19748,032;584,631;22033
6.792;2,621;2,794;0,137;19760,724;615,446;22308
8.435;2,678;2,909;0,136;19911,953;614,56;22548
14.959;2,594;2,909;0,136;19974,312;635,919;22782
9.154;2,671;3,018;0,135;19997,961;653,15;22818
6.653;2,705;3,046;0,135;20100,194;610,036;22914
11.060;2,709;2,988;0,135;20034,044;669,313;22720
12.794;2,873;3,096;0,134;20081,679;657,253;23033
12.232;2,987;3,244;0,136;20183,99;681,427;22830
12.997;2,97;3,253;0,139;20185,77;669,472;23348
15.387;2,928;3,233;0,139;20255,094;648,661;23758
20.222;2,914;3,218;0,139;20287,799;652,676;24009
24.163;2,915;3,262;0,138;20285,604;601,408;24159
29.937;2,943;3,365;0,136;20286,844;628,69;24517
24.089;2,736;3,3;0,134;20304,373;623,898;24750
28.374;2,457;3,123;0,135;20323,413;648,213;24994
26.942;2,338;2,98;0,135;20420,469;645,53;24182
10.644;2,393;2,997;0,136;20406,076;593,795;24305
17.281;2,594;3,076;0,135;20418,93;657,711;24531
20.113;2,881;3,121;0,135;20492,68;666,642;24798
18.012;2,946;3,161;0,136;20577,007;690,669;25139
23.421;2,804;3,089;0,139;20683,95;661,828;25363
23.559;2,823;3,045;0,14;20773,203;667,695;25510
18.864;2,707;3,005;0,139;20818,588;648,35;26257
21.812;2,681;3,016;0,139;20860,996;613,803;26623
23.072;2,724;3,053;0,136;20854,007;634,265;26994
11.421;2,693;3,069;0,133;21000,161;621,355;27375
18.681;2,645;3,055;0,133;20999,284;651,174;27529
26.391;2,636;3,048;0,134;20959,673;649,11;27842
11.151;2,533;2,91;0,134;21057,653;632,884;28142
18.234;2,329;2,729;0,134;19980,222;642,361;28486
8.058;1,938;2,493;0,133;18153,951;561,38;28774
8.626;1,961;2,392;0,134;18962,228;619,03;29068
16.809;2,17;2,408;0,137;19990,728;637,875;29226
23.075;2,272;2,434;0,137;20313,314;633,731;29722
17.291;2,272;2,429;0,137;20495,831;619,356;30223
28.101;2,274;2,414;0,137;20729,818;584,297;30529
29.959;2,248;2,389;0,135;20813,029;612,749;30734
22.225;2,2;2,432;0,136;20626,081;630,734;31449
28.620;2,284;2,585;0,136;20737,139;641,695;31136
25.103;2,42;2,681;0,136;21018,186;637,388;41767
26.215;2,587;2,847;0,137;20760,08;552,93;42361
40.755;2,898;3,152;0,138;21197,621;678,059;42765
33.547;2,948;3,13;0,139;21270,781;651,233;43449
29.796;3,076;3,217;0,14;21306,999;689,525;44261
45.913;3,157;3,287;0,142;21354,975;656,848;44730
42.013;3,231;3,339;0,143;21430,523;651,269;45290
35.499;3,255;3,35;0,144;21468,884;648,898;45732
42.020;3,272;3,384;0,144;21553,884;620,767;46297
42.485;3,384;3,612;0,142;21779,321;650,143;47145
46.687;3,491;3,727;0,142;21783,91;663,62;47709
49.441;3,406;3,641;0,142;21983,789;706,622;48639
42.780;3,413;3,724;0,147;21759,622;697,568;48717
46.859;3,611;4,032;0,148;21747,366;651,899;48283
64.160;4,322;5,105;0,15;21713,761;733,189;48661
52.537;4,213;5,12;0,151;21676,476;712,467;49464
52.502;4,545;5,571;0,154;21721,769;742,753;50438
74.262;5,032;5,754;0,16;21730,47;725,578;51196
64.310;4,668;5,486;0,164;21705,777;713,262;51948
59.836;4,087;5,013;0,167;21981,554;672,494;52868
69.811;3,817;4,993;0,167;21870,34;632,729;53043
71.739;3,935;5,211;0,166;21905,042;659,196;53538
69.924;3,799;5,255;0,163;22011,145;685,824;53989
79.262;3,324;4,714;0,165;22057,983;680,383;55015
